Name,Num_Of_Children_With_EBLL_1996,Num_Of_Children_With_EBLL_1997,Num_Of_Children_With_EBLL_1998,Num_Of_Children_With_EBLL_1999,Num_Of_Children_With_EBLL_2000,Num_Of_Children_With_EBLL_2001,Num_Of_Children_With_EBLL_2002,Num_Of_Children_With_EBLL_2003,Num_Of_Children_With_EBLL_2004,Num_Of_Children_With_EBLL_2005,Num_Of_Children_With_EBLL_2006,Num_Of_Children_With_EBLL_2007,Num_Of_Children_With_EBLL_2008,Num_Of_Children_With_EBLL_2009,Num_Of_Children_With_EBLL_2010,Num_Of_Children_With_EBLL_2011,Num_Of_Children_With_EBLL_2012
Rogers Park,337,300,252,229,150,123,92,83,60,33,27,21,17,17,10,8,18
Norwood Park,5,6,6,3,2,4,1,3,1,1,2,4,3,0,2,0,0
Jefferson Park,4,11,4,5,5,3,5,5,0,0,4,5,4,1,0,0,1
Forest Glen,5,0,7,0,1,0,0,2,0,1,0,0,0,0,1,0,0
North Park,22,17,12,10,21,9,12,11,7,4,4,5,1,4,1,2,4
Albany Park,232,234,211,193,138,126,97,97,52,42,28,28,26,20,13,25,16
Portage Park,60,57,53,42,39,32,33,25,29,20,17,20,12,19,13,7,4
Irving Park,132,113,103,84,77,82,68,49,48,31,11,23,10,17,18,9,13
Dunning,5,8,10,6,5,3,4,3,4,3,3,3,4,2,2,1,0
Montclare,1,5,10,8,5,5,4,2,5,5,4,1,1,0,3,4,4
Belmont Cragin,187,198,169,129,150,145,107,116,70,63,54,46,60,50,35,27,24
West Ridge,92,104,91,81,77,87,84,53,44,38,21,27,17,21,25,22,24
Hermosa,135,136,109,106,89,80,67,57,38,31,21,20,19,19,10,7,8
Avondale,154,161,131,109,99,83,78,63,45,39,18,16,24,30,12,11,6
Logan Square,560,540,397,326,271,220,157,103,66,56,40,43,29,26,23,23,16
Humboldt Park,1291,1107,897,775,607,470,431,312,228,172,120,91,61,60,38,39,40
West Town,831,667,478,354,222,165,111,69,50,28,24,17,14,14,10,9,4
Austin,2230,2004,1532,1369,974,887,724,482,386,290,244,222,144,106,100,91,110
West Garfield Park,693,714,533,455,365,301,220,166,106,92,50,51,28,11,19,13,18
East Garfield Park,676,552,468,400,231,231,184,121,93,58,27,31,19,13,8,10,10
Near West Side,490,427,329,223,184,110,81,72,51,22,15,9,12,9,3,8,7
North Lawndale,1376,1305,913,768,571,517,423,279,241,128,89,59,41,33,34,34,32
Uptown,227,270,284,236,116,103,93,72,43,28,23,11,9,11,5,5,5
South Lawndale,930,962,781,583,426,402,327,271,210,166,128,93,64,57,47,43,42
Lower West Side,451,503,370,283,203,154,143,115,68,50,29,29,14,17,11,13,8
Loop,28,13,9,10,13,7,5,8,4,2,0,0,0,0,0,1,1
Near South Side,92,73,51,35,24,16,15,10,6,6,5,3,0,3,1,1,0
Armour Square,26,18,16,12,11,8,4,0,3,2,2,0,2,3,0,0,1
Douglas,273,234,168,110,88,56,40,15,10,10,4,2,5,2,0,0,3
Oakland,91,83,58,25,36,15,14,7,4,2,1,0,0,3,1,0,0
Fuller Park,113,137,103,82,57,41,39,22,25,12,11,8,4,0,1,3,7
