Name,Population,Uninsured_Resident_2017_2021,Num_Of_Children_With_EBLL_2022,Num_Of_Children_With_EBLL_2021,Num_Of_Children_With_EBLL_2020,Num_Of_Children_With_EBLL_2019,Num_Of_Children_With_EBLL_2018,Num_Of_Children_With_EBLL_2017,Social_Vulnerability_Index_2020,Social_Vulnerability_Index_2018,Social_Vulnerability_Index_2016,Particulate_ Concentration_ 2021,Particulate_ Concentration_ 2020,Particulate_ Concentration_ 2019,Particulate_ Concentration_ 2018,Particulate_ Concentration_ 2017,Traffic_Intensity_2021,Traffic_Intensity_2020,Traffic_Intensity_2019,Traffic_Intensity_2018,Traffic_Intensity_2017,High_School_Grad_Rate_ 2017_2021,High_School_Grad_Rate_Female_ 2017_2021,High_School_Grad_Rate_Male_ 2017_2021,College_Grad_ Rate_ 2017_2021,College_Grad_ Rate_F_2017_2021,College_Grad_ Rate_M_2017_2021,Preschool_Enrol_ 2017_2021,Preschool_Enrol_ F_2017_2021,Preschool_Enrol_ M_2017_2021,Unemployement_Rate_2017_2021,Unemployement_Rate_Young_Adults_2017_2021,Hardship_Index_ 2017_2021,Median_Household_Income_ 2017_2021,Medicaid_Coverage_2017_2021,Per_Capita_Income_2017_2021,Poverty_Rate_2017_2021,Population_2017_2021,Population_Infants_ 2017_2021,Population_Juveniles _2017_2021,Population_Females_Infants_ 2017_2021,Population_Males_Infants_2017_2021
Rogers Park,55454,7503.721008,39,30,26,37,37,37,80.58148763,74.25271117,73.88844345,9.764741494,8.9817777,9.428351197,12.53750731,11.04872907,957.7778961,444.6750369,432.6120035,15.75264859,15.71178852,88.36267544,89.49007963,87.25281463,47.91658495,52.4553447,43.70590555,50.23035917,48.35983052,57.56383384,5.090518738,5.919748848,57.26775685,51702.58109,23.44125871,33201.74881,21.46204654,55627.13265,3385.998762,6125.699209,1660.638752,1725.360009
Norwood Park,41069,1736.558845,1,1,2,1,0,6,40.18040829,28.1600046,32.09608374,10.32526141,9.41049152,9.788287141,12.75635899,11.21538372,1778.377982,1500.058521,1485.7209,1146.236552,1115.054519,92.77003309,92.50851963,92.9605422,44.4655105,45.2915023,43.65184663,50.38345843,40.51742217,55.43777883,4.461458641,5.558128665,30.26220412,96762.55615,10.27774252,48391.61251,6.857635965,42501.96541,2778.754719,6926.686301,1267.865511,1510.889208
Jefferson Park,26201,2113.144836,1,1,5,9,7,7,43.86961369,41.06117296,39.0888432,10.25329445,9.355887311,9.75806313,12.79036749,11.25630136,2212.232547,1905.765452,1917.247465,1482.847238,1471.213658,92.49354928,92.62701164,92.26744185,41.60587456,43.42832532,39.8750691,64.47342707,46.92115874,76.74205832,5.730528408,6.070462436,38.06467418,84746.49091,14.54359364,39216.83407,8.873097794,27155.68021,1577.537236,4188.551773,803.7927686,773.7444675
Forest Glen,19579,1394.533507,2,2,3,0,0,0,23.78997063,17.55028457,19.33219651,10.14671749,9.281629413,9.692151481,12.71827413,11.18900086,2184.531669,1927.455507,1919.742657,1873.145313,1837.72476,94.80367529,93.89576066,95.78507002,59.74688669,62.48611203,56.8574009,59.86905746,60.20435066,64.85649166,4.391515008,3.508687844,15.95786826,132773.527,7.832364017,64378.48281,3.327424599,20293.42839,1488.14244,3693.913309,593.8996458,894.2427941
North Park,17522,1835.062596,6,7,5,5,6,7,73.4950099,64.75513495,68.43735135,10.09644714,9.244253306,9.67517891,12.75490195,11.2503407,825.7017906,473.6967531,463.6550177,263.7408779,249.7915495,86.14568654,84.19262364,88.70360471,47.43629702,48.96817608,45.94213198,56.48815264,39.83551433,65.79926985,3.579562834,4.347218157,59.85920328,63709.51296,24.2707653,34841.21698,15.11288669,18794.08144,1487.779135,2427.217981,843.175362,644.6037733
Albany Park,48549,8536.502055,19,20,24,35,29,29,75.07096934,61.49232387,68.02182877,10.15361352,9.287724631,9.714540751,12.82611381,11.31407907,1068.339957,476.5365099,462.6670082,169.56009,154.4813891,79.56452363,80.36532548,78.74725056,41.0367064,44.33923503,37.65888459,66.61481821,51.22169948,79.16808866,6.666051739,6.877365057,63.94918197,71978.41253,24.73602999,34864.51429,13.65700001,48822.58836,2551.426908,7851.013123,1414.25052,1137.176388
Portage Park,63038,8714.937195,8,12,13,16,23,20,61.48078804,52.51326514,55.26976194,10.33348205,9.418271823,9.819118777,12.88335465,11.3572598,935.9102667,794.2612717,823.3576156,714.9292231,684.1665686,87.73440316,87.7232544,87.79694551,34.23196185,35.92861112,32.48470317,45.39037947,42.99911231,47.46996793,5.617816301,5.660532349,48.18538999,78898.51598,17.61111112,34787.77796,8.241121057,65582.10596,3834.424605,9864.569222,1583.914991,2250.509614
Irving Park,51911,5703.294727,8,13,13,17,19,13,60.29562945,41.95675511,52.34089686,10.21604584,9.336387928,9.755679421,12.87776037,11.37020822,4163.377935,4838.597222,4953.222374,4089.056578,4181.105945,86.43669892,87.82182332,85.15313886,45.23791088,48.48305612,42.31318779,63.2794485,39.28313107,74.89130507,6.445245501,6.22438268,43.23041229,79728.39043,16.12896618,41859.41473,9.623948756,54247.70924,3659.542058,7997.74791,1633.952998,2025.58906
Dunning,43120,4630.551191,2,3,5,5,3,4,43.25514143,43.86507094,44.99812978,10.48197609,9.522952206,9.894074931,12.89510478,11.35263528,670.5443295,554.9821531,560.5544758,576.9304913,569.0349221,89.47569922,89.30270043,89.71265157,26.24106366,29.6574021,22.71092526,39.88511129,12.2448214,67.64482239,4.894008255,6.495270521,38.60351934,78217.95743,15.54142641,36325.45542,7.656248474,44249.39929,1935.248613,6627.487478,993.5673086,941.6813043
Montclare,14412,1230.188018,1,1,1,2,4,0,83.24064895,76.70431659,72.37797287,10.51669589,9.553488404,9.921884219,12.95811588,11.41323479,567.7155988,252.3137657,228.0140167,224.5246999,229.7769524,78.87935007,81.95069807,75.2097619,14.85254567,16.64923486,12.64139943,42.82203129,24.20934029,55.19423709,5.362294047,6.591755054,63.25227239,55998.15974,25.70909848,29696.62546,11.86472994,13784.93971,848.4514092,2119.095651,337.2472186,511.2041906
Belmont Cragin,78151,13630.79711,28,32,32,42,46,58,80.12941295,78.29135672,81.24154819,10.44397977,9.500822776,9.891654368,12.97833392,11.44882585,598.4247624,273.3958601,269.4642248,214.5472747,210.6886481,69.38114996,71.26412141,67.44866057,15.10843391,17.54968705,12.68109412,42.9884829,33.93375298,45.53180234,5.366107536,5.986668479,81.20895486,60868.82071,30.88477223,22851.38175,14.92943996,78655.94811,4867.116653,15675.99996,2487.84639,2379.270262
