Town,Total Confirmed Tests,# ≥3.5 mcg/dL,% ≥3.5 mcg/dL,# ≥5 mcg/dL,% ≥5 mcg/dL,# ≥15 mcg/dL,%  ≥15 mcg/dL,# ≥20 mcg/dL,%  ≥20 mcg/dL
2020 Grand Total,61317,2994,4.9,1024,1.7,120,0.2,58,0.1
Andover,40,0,0.0,0,0,0,0,0,0
Ansonia,401,31,7.7,13,3.2,2,0.5,0,0
Ashford,67,1,1.5,0,0,0,0,0,0
Avon,256,8,3.1,0,0,0,0,0,0
Barkhamsted,39,S,S,0,0,0,0,0,0
Beacon Falls,89,2,2.2,0,0,0,0,0,0
Berlin,231,1,0.4,0,0,0,0,0,0
Bethany,71,1,1.4,0,0,0,0,0,0
Bethel,352,9,2.6,3,0.9,1,0.3,0,0
Bethlehem,36,S,S,0,0,0,0,0,0
Bloomfield,309,11,3.6,0,0,0,0,0,0
Bolton,72,0,0.0,0,0,0,0,0,0
Bozrah,32,S,S,S,S,0,0,0,0
Branford,320,7,2.2,4,1.3,0,0,0,0
Bridgeport,3976,298,7.5,148,3.7,19,0.5,11,0.3
Bridgewater,10,S,S,0,0,0,0,0,0
Bristol,981,38,3.9,13,1.3,3,0.3,1,0.1
Brookfield,223,5,2.2,1,0.4,0,0,0,0
Brooklyn,116,6,5.2,0,0,0,0,0,0
Burlington,142,2,1.4,0,0,0,0,0,0
Canaan,11,S,S,S,S,0,0,0,0
Canterbury,83,1,1.2,0,0,0,0,0,0
Canton,129,5,3.9,1,0.8,0,0,0,0
Chaplin,24,S,S,0,0,0,0,0,0
Cheshire,230,7,3.0,0,0,0,0,0,0
Chester,36,S,S,0,0,0,0,0,0
Clinton,159,3,1.9,0,0,0,0,0,0
Colchester,245,8,3.3,1,0.4,1,0.4,0,0
Colebrook,11,0,0.0,0,0,0,0,0,0
Columbia,66,2,3.0,0,0,0,0,0,0
Cornwall,19,S,S,S,S,0,0,0,0
Coventry,195,3,1.5,0,0,0,0,0,0
Cromwell,179,2,1.1,1,0.6,0,0,0,0
Danbury,1995,74,3.7,22,1.1,3,0.2,0,0
Darien,445,8,1.8,2,0.4,1,0.2,1,0.2
Deep River,50,5,10.0,1,2,0,0,0,0
Derby,225,11,4.9,6,2.7,0,0,0,0
Durham,89,2,2.2,1,1.1,0,0,0,0
East Granby,88,3,3.4,1,1.1,0,0,0,0
East Haddam,102,2,2.0,0,0,0,0,0,0
East Hampton,131,1,0.8,0,0,0,0,0,0
East Hartford,884,33,3.7,15,1.7,2,0.2,2,0.2
East Haven,458,19,4.1,5,1.1,0,0,0,0
East Lyme,226,7,3.1,2,0.9,1,0.4,1,0.4
East Windsor,180,8,4.4,2,1.1,0,0,0,0
Eastford,25,S,S,0,0,0,0,0,0
Easton,100,4,4.0,2,2,0,0,0,0
Ellington,290,6,2.1,3,1,1,0.3,1,0.3
Enfield,618,32,5.2,8,1.3,1,0.2,0,0
Essex,88,12,13.6,1,1.1,0,0,0,0
Fairfield,963,13,1.3,3,0.3,0,0,0,0
Farmington,336,4,1.2,2,0.6,1,0.3,1,0.3
Franklin,29,S,S,S,S,S,S,0,0
Glastonbury,267,6,2.2,1,0.4,1,0.4,1,0.4
Goshen,20,S,S,0,0,0,0,0,0
Granby,114,3,2.6,0,0,0,0,0,0
Greenwich,1036,55,5.3,2,0.2,0,0,0,0
Griswold,188,15,8.0,3,1.6,0,0,0,0
Groton,746,23,3.1,4,0.5,0,0,0,0
Guilford,185,3,1.6,0,0,0,0,0,0
Haddam,100,4,4.0,0,0,0,0,0,0
Hamden,862,40,4.6,12,1.4,3,0.3,2,0.2
Hampton,24,S,S,0,0,0,0,0,0
Hartford,2718,171,6.3,71,2.6,9,0.3,6,0.2
Hartland,5,S,S,0,0,0,0,0,0
Harwinton,74,3,4.1,0,0,0,0,0,0
Hebron,89,2,2.2,0,0,0,0,0,0
Kent,23,S,S,S,S,0,0,0,0
Killingly,281,10,3.6,4,1.4,1,0.4,1,0.4
Killingworth,82,0,0.0,0,0,0,0,0,0
Lebanon,84,8,9.5,3,3.6,0,0,0,0
Ledyard,304,9,3.0,2,0.7,0,0,0,0
Lisbon,26,S,S,0,0,0,0,0,0
Litchfield,104,11,10.6,2,1.9,0,0,0,0
Lyme,12,S,S,S,S,0,0,0,0
Madison,203,5,2.5,2,1,0,0,0,0
Manchester,1092,55,5.0,18,1.6,1,0.1,0,0
Mansfield,149,8,5.4,1,0.7,0,0,0,0
