Geography,Year,Sex,5 - < 10 ug/dL Confirmed Count,5 - < 10 ug/dL Confirmed Rate,5 - < 10 ug/dL Unconfirmed Count,5 - < 10 ug/dL Unconfirmed Rate,5 - < 10 ug/dL Combined Count,5 - < 10 ug/dL Combined Rate,10 - <15 ug/dL Confirmed Count,10 - <15 ug/dL Confirmed Rate,15 - < 20 ug/dL Confirmed Count,15 - < 20 ug/dL Confirmed Rate,20 - < 25 ug/dL Confirmed Count,20 - < 25 ug/dL Confirmed Rate,25 - < 45 ug/dL Confirmed Count,25 - < 45 ug/dL Confirmed Rate,45 - < 70  ug/dL Confirmed  Count,45 - < 70  ug/dL Confirmed  Rate,70 ug/dL Confirmed  Count,70 ug/dL Confirmed  Rate
Barnstable,2016,Female,12,6.9,25,14.4,37,21.3,1,.6,0,0,0,0,0,0,0,0,0,0
Barnstable,2016,Male,8,4.3,29,15.6,37,19.9,3,1.6,0,0,1,.5,0,0,0,0,0,0
Barnstable,2016,Total,20,5.6,54,15,74,20.6,4,1.1,0,0,1,.3,0,0,0,0,0,0
Barnstable,2017,Female,5,2.8,20,11.2,25,14,0,0,0,0,0,0,0,0,0,0,0,0
Barnstable,2017,Male,4,2.1,28,14.4,32,16.5,0,0,1,.5,1,.5,0,0,0,0,0,0
Barnstable,2017,Total,9,2.4,48,12.9,57,15.3,0,0,1,.3,1,.3,0,0,0,0,0,0
Barnstable,2018,Female,7,3.9,13,7.2,20,11,1,.6,1,.6,0,0,0,0,0,0,0,0
Barnstable,2018,Male,6,3.2,11,5.8,17,9,2,1.1,0,0,1,.5,0,0,0,0,0,0
Barnstable,2018,Total,13,3.5,24,6.5,37,10,3,.8,1,.3,1,.3,0,0,0,0,0,0
Barnstable,2019,Female,7,3.9,18,10.1,25,14.1,2,1.1,0,0,0,0,0,0,0,0,0,0
Barnstable,2019,Male,5,2.6,18,9.4,23,12,1,.5,1,.5,0,0,0,0,0,0,0,0
Barnstable,2019,Total,12,3.2,36,9.7,48,13,3,.8,1,.3,0,0,0,0,0,0,0,0
Barnstable,2020,Female,7,4.4,13,8.1,20,12.5,2,1.2,0,0,0,0,0,0,0,0,0,0
Barnstable,2020,Male,3,1.7,12,7,15,8.7,1,.6,0,0,0,0,0,0,0,0,0,0
Barnstable,2020,Total,10,3,25,7.5,35,10.5,3,.9,0,0,0,0,0,0,0,0,0,0
Berkshire,2016,Female,15,11.1,42,31.1,57,42.2,6,4.4,1,.7,0,0,0,0,0,0,0,0
Berkshire,2016,Male,26,18.9,51,37.1,77,56,3,2.2,1,.7,0,0,5,3.6,0,0,0,0
Berkshire,2016,Total,41,15,93,34.1,134,49.1,9,3.3,2,.7,0,0,5,1.8,0,0,0,0
Berkshire,2017,Female,19,14.2,39,29.1,58,43.3,1,.7,0,0,0,0,0,0,0,0,0,0
Berkshire,2017,Male,23,16.6,33,23.8,56,40.3,4,2.9,1,.7,2,1.4,2,1.4,0,0,0,0
Berkshire,2017,Total,42,15.4,72,26.4,114,41.8,5,1.8,1,.4,2,.7,2,.7,0,0,0,0
Berkshire,2018,Female,16,12.3,35,27,51,39.3,7,5.4,1,.8,1,.8,0,0,0,0,0,0
Berkshire,2018,Male,17,12.5,33,24.2,50,36.6,7,5.1,2,1.5,1,.7,0,0,0,0,0,0
Berkshire,2018,Total,33,12.4,68,25.5,101,37.9,14,5.3,3,1.1,2,.8,0,0,0,0,0,0
Berkshire,2019,Female,16,11.9,37,27.5,53,39.4,4,3,1,.7,1,.7,0,0,0,0,0,0
Berkshire,2019,Male,23,17.2,19,14.2,42,31.3,5,3.7,1,.7,0,0,1,.7,1,.7,0,0
Berkshire,2019,Total,39,14.5,56,20.9,95,35.4,9,3.4,2,.7,1,.4,1,.4,1,.4,0,0
Berkshire,2020,Female,15,13.7,25,22.8,40,36.4,NS,NS,NS,NS,NS,NS,NS,NS,0,0,0,0
Berkshire,2020,Male,31,26.8,31,26.8,62,53.7,NS,NS,NS,NS,NS,NS,NS,NS,0,0,0,0
Berkshire,2020,Total,46,20.4,56,24.9,102,45.3,4,1.8,1,.4,1,.4,1,.4,0,0,0,0
Bristol,2016,Female,109,14.6,98,13.1,207,27.7,15,2,8,1.1,3,.4,5,.7,1,.1,0,0
Bristol,2016,Male,110,14.4,134,17.5,244,31.9,24,3.1,10,1.3,2,.3,1,.1,1,.1,0,0
Bristol,2016,Total,219,14.5,232,15.3,451,29.8,39,2.6,18,1.2,5,.3,6,.4,2,.1,0,0
Bristol,2017,Female,74,10.1,63,8.6,137,18.7,18,2.5,9,1.2,4,.5,1,.1,0,0,0,0
Bristol,2017,Male,94,12.5,95,12.6,189,25.1,27,3.6,5,.7,0,0,5,.7,0,0,0,0
Bristol,2017,Total,168,11.3,158,10.6,326,21.9,45,3,14,.9,4,.3,6,.4,0,0,0,0
Bristol,2018,Female,94,12.8,85,11.6,179,24.5,13,1.8,2,.3,1,.1,4,.5,0,0,0,0
Bristol,2018,Male,92,12.1,89,11.7,181,23.7,24,3.1,10,1.3,2,.3,3,.4,0,0,0,0
Bristol,2018,Total,186,12.4,174,11.6,360,24.1,37,2.5,12,.8,3,.2,7,.5,0,0,0,0
Bristol,2019,Female,60,8.2,38,5.2,98,13.4,15,2.1,5,.7,3,.4,2,.3,1,.1,0,0
Bristol,2019,Male,105,14,55,7.3,160,21.3,25,3.3,8,1.1,1,.1,4,.5,0,0,0,0
Bristol,2019,Total,165,11.1,93,6.3,258,17.4,40,2.7,13,.9,4,.3,6,.4,1,.1,0,0
Bristol,2020,Female,78,11.7,40,6,118,17.8,21,3.2,6,.9,2,.3,3,.5,0,0,0,0
Bristol,2020,Male,89,12.8,79,11.4,168,24.2,23,3.3,8,1.2,7,1,3,.4,0,0,0,0
Bristol,2020,Total,167,12.3,119,8.8,286,21.1,44,3.2,14,1,9,.7,6,.4,0,0,0,0
Dukes,2016,Female,NS,NS,0,0,NS,NS,NS,NS,0,0,0,0,0,0,0,0,0,0
Dukes,2016,Male,NS,NS,0,0,NS,NS,NS,NS,0,0,0,0,0,0,0,0,0,0
Dukes,2016,Total,6,30.3,0,0,6,30.3,NS,NS,0,0,0,0,0,0,0,0,0,0
Dukes,2017,Female,NS,NS,0,0,NS,NS,NS,NS,0,0,0,0,0,0,0,0,0,0
Dukes,2017,Male,NS,NS,0,0,NS,NS,NS,NS,0,0,0,0,0,0,0,0,0,0
Dukes,2017,Total,7,32.1,0,0,7,32.1,NS,NS,0,0,0,0,0,0,0,0,0,0
