Time,GeoType,GeoID,GeoRank,Geography,Number (10+ mcg/dL),Number (15+ mcg/dL),Number (5+ mcg/dL),Number tested,"Rate (10+ mcg/dL) per 1,000 tested","Rate (15+ mcg/dL) per 1,000 tested","Rate (5+ mcg/dL) per 1,000 tested"
2021,UHF42,101,4,Kingsbridge - Riverdale,2*,0*,11*,"2,290",0.9*,0.0*,4.8*
2021,UHF42,102,4,Northeast Bronx,22,8*,60,"4,920",4.5,1.6*,12.2
2021,UHF42,103,4,Fordham - Bronx Pk,28,8*,105,"9,010",3.1,0.9*,11.7
2021,UHF42,104,4,Pelham - Throgs Neck,30,15,94,"9,720",3.1,1.5,9.7
2021,UHF42,105,4,Crotona -Tremont,24,12,82,"7,880",3.0,1.5,10.4
2021,UHF42,106,4,High Bridge - Morrisania,18,7*,72,"7,830",2.3,0.9*,9.2
2021,UHF42,107,4,Hunts Point - Mott Haven,13,8*,39,"4,700",2.8,1.7*,8.3
2021,UHF42,201,4,Greenpoint,14,8*,97,"3,760",3.7,2.1*,25.8
2021,UHF42,202,4,Downtown - Heights - Slope,15,3*,63,"6,180",2.4,0.5*,10.2
2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,33,8*,152,"9,510",3.5,0.8*,16.0
2021,UHF42,204,4,East New York,16,6*,75,"7,650",2.1,0.8*,9.8
2021,UHF42,205,4,Sunset Park,13,4*,49,"5,330",2.4,0.8*,9.2
2021,UHF42,206,4,Borough Park,46,9*,224,"12,080",3.8,0.7*,18.5
2021,UHF42,207,4,East Flatbush - Flatbush,28,11*,109,"8,050",3.5,1.4*,13.5
2021,UHF42,208,4,Canarsie - Flatlands,12,8*,42,"5,620",2.1,1.4*,7.5
2021,UHF42,209,4,Bensonhurst - Bay Ridge,23,11*,82,"6,390",3.6,1.7*,12.8
2021,UHF42,210,4,Coney Island - Sheepshead Bay,33,15,124,"9,390",3.5,1.6,13.2
2021,UHF42,211,4,Williamsburg - Bushwick,11*,4*,95,"6,250",1.8*,0.6*,15.2
2021,UHF42,301,4,Washington Heights,7*,4*,52,"6,010",1.2*,0.7*,8.6
2021,UHF42,302,4,Central Harlem - Morningside Heights,9*,4*,31,"3,990",2.3*,1.0*,7.8
2021,UHF42,303,4,East Harlem,2*,0*,9*,"2,490",0.8*,0.0*,3.6*
2021,UHF42,304,4,Upper West Side,10*,5*,24,"3,290",3.0*,1.5*,7.3
2021,UHF42,305,4,Upper East Side,4*,0*,17,"3,190",1.3*,0.0*,5.3
2021,UHF42,306,4,Chelsea - Clinton,0*,0*,5*,"1,820",0.0*,0.0*,2.7*
2021,UHF42,307,4,Gramercy Park - Murray Hill,0*,0*,4*,"1,700",0.0*,0.0*,2.3*
2021,UHF42,308,4,Greenwich Village - SoHo,1*,1*,6*,"1,090",0.9*,0.9*,5.5*
2021,UHF42,309,4,Union Square - Lower East Side,2*,0*,17,"2,460",0.8*,0.0*,6.9
2021,UHF42,310,4,Lower Manhattan,1*,0*,2*,"1,200",0.8*,0.0*,1.7*
2021,UHF42,401,4,Long Island City - Astoria,11*,5*,47,"5,700",1.9*,0.9*,8.2
2021,UHF42,402,4,West Queens,53,20,198,"15,740",3.4,1.3,12.6
2021,UHF42,403,4,Flushing - Clearview,8*,6*,36,"7,310",1.1*,0.8*,4.9
2021,UHF42,404,4,Bayside - Little Neck,1*,1*,8*,"1,750",0.6*,0.6*,4.6*
2021,UHF42,405,4,Ridgewood - Forest Hills,11*,4*,64,"7,330",1.5*,0.5*,8.7
2021,UHF42,406,4,Fresh Meadows,4*,0*,17,"3,110",1.3*,0.0*,5.5
2021,UHF42,407,4,Southwest Queens,30,13,127,"8,900",3.4,1.5,14.3
2021,UHF42,408,4,Jamaica,24,14,120,"10,790",2.2,1.3,11.1
2021,UHF42,409,4,Southeast Queens,13,5*,56,"4,800",2.7,1.0*,11.7
2021,UHF42,410,4,Rockaways,7*,0*,32,"3,640",1.9*,0.0*,8.8
2021,UHF42,501,4,Port Richmond,12,7*,32,"2,330",5.1,3.0*,13.7
2021,UHF42,502,4,Stapleton - St. George,7*,3*,52,"3,860",1.8*,0.8*,13.5
2021,UHF42,503,4,Willowbrook,2*,2*,12,"2,030",1.0*,1.0*,5.9
2021,UHF42,504,4,South Beach - Tottenville,1*,1*,12,"3,720",0.3*,0.3*,3.2
2021,Borough,1,1,Bronx,137,58,463,"46,300",3.0,1.3,10.0
2021,Borough,2,1,Brooklyn,244,87,"1,112","80,200",3.0,1.1,13.9
2021,Borough,3,1,Manhattan,36,14,167,"27,200",1.3,0.5,6.1
2021,Borough,4,1,Queens,162,68,705,"69,100",2.3,1.0,10.2
2021,Borough,5,1,Staten Island,22,13,108,"11,900",1.8,1.1,9.0
2021,Citywide,1,0,New York City,601,240,"2,557","236,900",2.5,1.0,10.8
2020,UHF42,101,4,Kingsbridge - Riverdale,2*,1*,16,"2,210",0.9*,0.5*,7.3
2020,UHF42,102,4,Northeast Bronx,18,7*,58,"4,460",4.0,1.6*,13.0
2020,UHF42,103,4,Fordham - Bronx Pk,26,7*,94,"8,820",2.9,0.8*,10.7
2020,UHF42,104,4,Pelham - Throgs Neck,15,7*,73,"8,940",1.7,0.8*,8.2
2020,UHF42,105,4,Crotona -Tremont,20,6*,72,"7,600",2.6,0.8*,9.5
2020,UHF42,106,4,High Bridge - Morrisania,17,5*,67,"7,550",2.3,0.7*,8.9
2020,UHF42,107,4,Hunts Point - Mott Haven,3*,0*,38,"4,750",0.6*,0.0*,8.0
2020,UHF42,201,4,Greenpoint,25,10*,142,"4,110",6.1,2.4*,34.5
2020,UHF42,202,4,Downtown - Heights - Slope,12,2*,62,"6,320",1.9,0.3*,9.8
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,26,9*,138,"8,960",2.9,1.0*,15.4
2020,UHF42,204,4,East New York,19,9*,85,"7,590",2.5,1.2*,11.2
2020,UHF42,205,4,Sunset Park,11*,2*,49,"5,390",2.0*,0.4*,9.1
2020,UHF42,206,4,Borough Park,49,20,286,"12,330",4.0,1.6,23.2
2020,UHF42,207,4,East Flatbush - Flatbush,26,8*,90,"7,750",3.4,1.0*,11.6
2020,UHF42,208,4,Canarsie - Flatlands,10*,5*,34,"5,580",1.8*,0.9*,6.1
2020,UHF42,209,4,Bensonhurst - Bay Ridge,23,9*,92,"6,610",3.5,1.4*,13.9
2020,UHF42,210,4,Coney Island - Sheepshead Bay,30,11*,119,"9,210",3.3,1.2*,12.9
2020,UHF42,211,4,Williamsburg - Bushwick,11*,5*,90,"6,210",1.8*,0.8*,14.5
2020,UHF42,301,4,Washington Heights,9*,3*,47,"5,860",1.5*,0.5*,8.0
2020,UHF42,302,4,Central Harlem - Morningside Heights,6*,0*,29,"3,630",1.7*,0.0*,8.0
2020,UHF42,303,4,East Harlem,2*,0*,15,"2,520",0.8*,0.0*,6.0
2020,UHF42,304,4,Upper West Side,2*,1*,19,"3,220",0.6*,0.3*,5.9
2020,UHF42,305,4,Upper East Side,9*,2*,14,"3,200",2.8*,0.6*,4.4
2020,UHF42,306,4,Chelsea - Clinton,2*,0*,8*,"1,810",1.1*,0.0*,4.4*
2020,UHF42,307,4,Gramercy Park - Murray Hill,0*,0*,3*,"1,880",0.0*,0.0*,1.6*
2020,UHF42,308,4,Greenwich Village - SoHo,2*,1*,8*,"1,240",1.6*,0.8*,6.4*
2020,UHF42,309,4,Union Square - Lower East Side,1*,1*,10*,"2,550",0.4*,0.4*,3.9*
2020,UHF42,310,4,Lower Manhattan,1*,0*,2*,"1,350",0.7*,0.0*,1.5*
2020,UHF42,401,4,Long Island City - Astoria,5*,3*,47,"5,890",0.8*,0.5*,8.0
2020,UHF42,402,4,West Queens,41,19,182,"15,770",2.6,1.2,11.5
2020,UHF42,403,4,Flushing - Clearview,14,9*,46,"7,390",1.9,1.2*,6.2
2020,UHF42,404,4,Bayside - Little Neck,1*,0*,8*,"1,760",0.6*,0.0*,4.5*
2020,UHF42,405,4,Ridgewood - Forest Hills,20,3*,79,"7,580",2.6,0.4*,10.4
2020,UHF42,406,4,Fresh Meadows,6*,2*,29,"3,390",1.8*,0.6*,8.5
2020,UHF42,407,4,Southwest Queens,26,9*,122,"9,040",2.9,1.0*,13.5
2020,UHF42,408,4,Jamaica,21,10*,123,"10,750",2.0,0.9*,11.4
2020,UHF42,409,4,Southeast Queens,11*,3*,68,"4,690",2.3*,0.6*,14.5
2020,UHF42,410,4,Rockaways,6*,4*,36,"3,690",1.6*,1.1*,9.8
2020,UHF42,501,4,Port Richmond,15,9*,39,"2,120",7.1,4.2*,18.4
2020,UHF42,502,4,Stapleton - St. George,6*,3*,38,"3,370",1.8*,0.9*,11.3
2020,UHF42,503,4,Willowbrook,2*,1*,12,"1,830",1.1*,0.5*,6.6
